individualID,specimenID,organ,tissue,BrodmannArea,tissueWeight,nucleicAcidSource,cellType,tissueVolume,fastingState
ApoE2_12M_13,ApoE-6,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_12M_7,ApoE-7,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_12M_8,ApoE-8,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_12M_13,ApoE-9,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_12M_3,ApoE-10,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_24M_11,ApoE-11,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_12M_1,ApoE-12,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_24M_7,ApoE-13,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_24M_5,ApoE-14,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_12M_4,ApoE-15,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_24M_18,ApoE-16,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_24M_17,ApoE-17,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_24M_15,ApoE-18,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_24M_6,ApoE-19,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_24M_1,ApoE-20,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_24M_9,ApoE-21,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_24M_8,ApoE-22,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_24M_10,ApoE-23,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_24M_7,ApoE-24,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_12M_4,ApoE-25,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_12M_10,ApoE-26,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_24M_2,ApoE-27,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_24M_12,ApoE-28,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_24M_5,ApoE-29,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_12M_11,ApoE-30,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_12M_12,ApoE-31,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_24M_14,ApoE-32,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_12M_5,ApoE-33,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_12M_11,ApoE-34,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_24M_3,ApoE-35,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_12M_12,ApoE-36,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_12M_6,ApoE-38,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_24M_10,ApoE-39,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_12M_2,ApoE-40,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_24M_6,ApoE-41,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_24M_11,ApoE-42,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_24M_2,ApoE-43,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_12M_16,ApoE-44,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_24M_3,ApoE-45,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_24M_15,ApoE-46,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_24M_13,ApoE-47,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_12M_6,ApoE-48,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_24M_11,ApoE-49,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_24M_14,ApoE-50,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_12M_14,ApoE-51,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_12M_1,ApoE-52,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_12M_3,ApoE-53,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_24M_16,ApoE-54,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_12M_4,ApoE-55,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_12M_13,ApoE-56,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_24M_17,ApoE-57,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_12M_8,ApoE-58,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_24M_8,ApoE-59,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_12M_11,ApoE-60,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_12M_16,ApoE-61,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_24M_2,ApoE-62,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_12M_2,ApoE-63,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_12M_5,ApoE-64,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_24M_10,ApoE-65,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_12M_15,ApoE-66,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_24M_13,ApoE-67,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_24M_13,ApoE-68,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_24M_8,ApoE-69,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_12M_9,ApoE-70,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_12M_9,ApoE-71,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_24M_4,ApoE-72,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_24M_15,ApoE-73,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_24M_1,ApoE-74,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_12M_1,ApoE-75,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_12M_5,ApoE-76,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_12M_3,ApoE-77,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_24M_3,ApoE-78,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_12M_14,ApoE-79,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_12M_12,ApoE-80,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_24M_16,ApoE-81,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_12M_6,ApoE-82,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_24M_5,ApoE-83,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_12M_10,ApoE-84,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_24M_4,ApoE-85,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_24M_9,ApoE-86,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_24M_7,ApoE-87,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_12M_14,ApoE-88,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_24M_17,ApoE-89,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_12M_9,ApoE-90,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_12M_10,ApoE-91,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_12M_2,ApoE-92,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_24M_6,ApoE-93,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_12M_8,ApoE-94,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_12M_16,ApoE-95,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_12M_15,ApoE-96,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
S-1,37089,blood,serum,NA,NA,NA,NA,10,Y
S-2,37090,blood,serum,NA,NA,NA,NA,10,Y
S-3,37091,blood,serum,NA,NA,NA,NA,10,Y
S-4,37092,blood,serum,NA,NA,NA,NA,10,N
S-5,37093,blood,serum,NA,NA,NA,NA,10,Y
S-6,37094,blood,serum,NA,NA,NA,NA,10,Y
S-7,37095,blood,serum,NA,NA,NA,NA,10,N
S-8,37096,blood,serum,NA,NA,NA,NA,10,Y
S-9,37097,blood,serum,NA,NA,NA,NA,10,Y
S-10,37098,blood,serum,NA,NA,NA,NA,10,Y
S-11,37099,blood,serum,NA,NA,NA,NA,10,N
S-12,37100,blood,serum,NA,NA,NA,NA,10,Y
S-13,37101,blood,serum,NA,NA,NA,NA,10,Y
S-14,37102,blood,serum,NA,NA,NA,NA,10,Y
S-15,37103,blood,serum,NA,NA,NA,NA,10,Y
S-16,37104,blood,serum,NA,NA,NA,NA,10,Y
S-17,37105,blood,serum,NA,NA,NA,NA,10,Y
S-18,37106,blood,serum,NA,NA,NA,NA,10,N
S-19,37107,blood,serum,NA,NA,NA,NA,10,Y
S-20,37108,blood,serum,NA,NA,NA,NA,10,N
S-21,37109,blood,serum,NA,NA,NA,NA,10,Y
S-22,37110,blood,serum,NA,NA,NA,NA,10,Y
S-23,37111,blood,serum,NA,NA,NA,NA,10,Y
S-24,37112,blood,serum,NA,NA,NA,NA,10,Y
S-25,37113,blood,serum,NA,NA,NA,NA,10,N
S-26,37114,blood,serum,NA,NA,NA,NA,10,Y
S-27,37115,blood,serum,NA,NA,NA,NA,10,Y
S-28,37116,blood,serum,NA,NA,NA,NA,10,Y
S-29,37117,blood,serum,NA,NA,NA,NA,10,N
S-30,37118,blood,serum,NA,NA,NA,NA,10,N
S-31,37119,blood,serum,NA,NA,NA,NA,10,Y
S-32,37120,blood,serum,NA,NA,NA,NA,10,Y
S-33,37121,blood,serum,NA,NA,NA,NA,10,Y
S-34,37122,blood,serum,NA,NA,NA,NA,10,N
S-35,37123,blood,serum,NA,NA,NA,NA,10,Y
S-36,37124,blood,serum,NA,NA,NA,NA,10,Y
S-37,37125,blood,serum,NA,NA,NA,NA,10,Y
S-38,37126,blood,serum,NA,NA,NA,NA,10,Y
S-39,37127,blood,serum,NA,NA,NA,NA,10,Y
S-40,37128,blood,serum,NA,NA,NA,NA,10,N
S-41,37129,blood,serum,NA,NA,NA,NA,10,N
S-42,37130,blood,serum,NA,NA,NA,NA,10,N
S-43,37131,blood,serum,NA,NA,NA,NA,10,N
S-44,37132,blood,serum,NA,NA,NA,NA,10,N
S-45,37133,blood,serum,NA,NA,NA,NA,10,Y
S-46,37134,blood,serum,NA,NA,NA,NA,10,Y
S-47,37135,blood,serum,NA,NA,NA,NA,10,Y
S-48,37136,blood,serum,NA,NA,NA,NA,10,N
S-49,37137,blood,serum,NA,NA,NA,NA,10,Y
S-50,37138,blood,serum,NA,NA,NA,NA,10,Y
S-51,37139,blood,serum,NA,NA,NA,NA,10,N
S-52,37140,blood,serum,NA,NA,NA,NA,10,Y
S-53,37141,blood,serum,NA,NA,NA,NA,10,Y
S-54,37142,blood,serum,NA,NA,NA,NA,10,Y
S-55,37143,blood,serum,NA,NA,NA,NA,10,N
S-56,37144,blood,serum,NA,NA,NA,NA,10,Y
S-57,37145,blood,serum,NA,NA,NA,NA,10,Y
S-58,37146,blood,serum,NA,NA,NA,NA,10,Y
S-59,37147,blood,serum,NA,NA,NA,NA,10,N
S-60,37148,blood,serum,NA,NA,NA,NA,10,Y
S-61,37149,blood,serum,NA,NA,NA,NA,10,Y
S-62,37150,blood,serum,NA,NA,NA,NA,10,N
S-63,37151,blood,serum,NA,NA,NA,NA,10,N
S-64,37152,blood,serum,NA,NA,NA,NA,10,Y
S-65,37153,blood,serum,NA,NA,NA,NA,10,Y
S-66,37154,blood,serum,NA,NA,NA,NA,10,Y
S-67,37155,blood,serum,NA,NA,NA,NA,10,Y
S-68,37156,blood,serum,NA,NA,NA,NA,10,N
S-69,37157,blood,serum,NA,NA,NA,NA,10,N
S-70,37158,blood,serum,NA,NA,NA,NA,10,Y
S-71,37159,blood,serum,NA,NA,NA,NA,10,N
S-72,37160,blood,serum,NA,NA,NA,NA,10,N
S-73,37161,blood,serum,NA,NA,NA,NA,10,N
S-74,37162,blood,serum,NA,NA,NA,NA,10,N
S-75,37163,blood,serum,NA,NA,NA,NA,10,Y
S-76,37164,blood,serum,NA,NA,NA,NA,10,N
S-77,37165,blood,serum,NA,NA,NA,NA,10,Y
S-78,37166,blood,serum,NA,NA,NA,NA,10,Y
S-79,37167,blood,serum,NA,NA,NA,NA,10,Y
S-80,37168,blood,serum,NA,NA,NA,NA,10,Y
S-81,37169,blood,serum,NA,NA,NA,NA,10,Y
S-82,37170,blood,serum,NA,NA,NA,NA,10,N
S-83,37171,blood,serum,NA,NA,NA,NA,10,Y
S-84,37172,blood,serum,NA,NA,NA,NA,10,Y
S-85,37173,blood,serum,NA,NA,NA,NA,10,Y
S-86,37174,blood,serum,NA,NA,NA,NA,10,Y
S-87,37175,blood,serum,NA,NA,NA,NA,10,Y
S-88,37176,blood,serum,NA,NA,NA,NA,10,Y
S-89,37177,blood,serum,NA,NA,NA,NA,10,Y
S-90,37178,blood,serum,NA,NA,NA,NA,10,Y
S-91,37179,blood,serum,NA,NA,NA,NA,10,N
S-92,37180,blood,serum,NA,NA,NA,NA,10,N
S-93,37181,blood,serum,NA,NA,NA,NA,10,Y
S-94,37182,blood,serum,NA,NA,NA,NA,10,N
S-95,37183,blood,serum,NA,NA,NA,NA,10,Y
S-96,37184,blood,serum,NA,NA,NA,NA,10,N
S-97,37185,blood,serum,NA,NA,NA,NA,10,Y
S-98,37186,blood,serum,NA,NA,NA,NA,10,Y
S-99,37187,blood,serum,NA,NA,NA,NA,10,Y
S-100,37188,blood,serum,NA,NA,NA,NA,10,Y
S-101,37189,blood,serum,NA,NA,NA,NA,10,Y
S-102,37190,blood,serum,NA,NA,NA,NA,10,Y
S-103,37191,blood,serum,NA,NA,NA,NA,10,Y
S-104,37192,blood,serum,NA,NA,NA,NA,10,Y
S-105,37193,blood,serum,NA,NA,NA,NA,10,Y
S-106,37194,blood,serum,NA,NA,NA,NA,10,N
S-107,37195,blood,serum,NA,NA,NA,NA,10,Y
S-108,37196,blood,serum,NA,NA,NA,NA,10,Y
S-109,37197,blood,serum,NA,NA,NA,NA,10,Y
S-110,37198,blood,serum,NA,NA,NA,NA,10,Y
S-111,37199,blood,serum,NA,NA,NA,NA,10,N
S-112,37200,blood,serum,NA,NA,NA,NA,10,Y
S-113,37201,blood,serum,NA,NA,NA,NA,10,N
S-114,37202,blood,serum,NA,NA,NA,NA,10,Y
S-115,37203,blood,serum,NA,NA,NA,NA,10,Y
S-116,37204,blood,serum,NA,NA,NA,NA,10,N
S-117,37205,blood,serum,NA,NA,NA,NA,10,Y
S-118,37206,blood,serum,NA,NA,NA,NA,10,Y
S-119,37207,blood,serum,NA,NA,NA,NA,10,Y
S-120,37208,blood,serum,NA,NA,NA,NA,10,Y
S-121,37209,blood,serum,NA,NA,NA,NA,10,N
S-122,37210,blood,serum,NA,NA,NA,NA,10,Y
S-123,37211,blood,serum,NA,NA,NA,NA,10,Y
S-124,37212,blood,serum,NA,NA,NA,NA,10,N
S-125,37213,blood,serum,NA,NA,NA,NA,10,Y
S-126,37214,blood,serum,NA,NA,NA,NA,10,Y
S-127,37215,blood,serum,NA,NA,NA,NA,10,Y
S-128,37216,blood,serum,NA,NA,NA,NA,10,N
S-129,37217,blood,serum,NA,NA,NA,NA,10,N
S-130,37218,blood,serum,NA,NA,NA,NA,10,N
S-131,37219,blood,serum,NA,NA,NA,NA,10,N
S-132,37220,blood,serum,NA,NA,NA,NA,10,Y
S-133,37221,blood,serum,NA,NA,NA,NA,10,Y
S-134,37222,blood,serum,NA,NA,NA,NA,10,N
S-135,37223,blood,serum,NA,NA,NA,NA,10,Y
S-136,37224,blood,serum,NA,NA,NA,NA,10,N
S-137,37225,blood,serum,NA,NA,NA,NA,10,N
S-138,37226,blood,serum,NA,NA,NA,NA,10,Y
S-139,37227,blood,serum,NA,NA,NA,NA,10,N
S-140,37228,blood,serum,NA,NA,NA,NA,10,Y
S-141,37229,blood,serum,NA,NA,NA,NA,10,Y
S-142,37230,blood,serum,NA,NA,NA,NA,10,N
S-143,37231,blood,serum,NA,NA,NA,NA,10,Y
S-144,37232,blood,serum,NA,NA,NA,NA,10,N
pool_allsamples,101,blood,serum,NA,NA,NA,NA,,N
