Gene stable ID	Gene stable ID version	Mouse gene name	Gene name
ENSDARG00000068468	ENSDARG00000068468.7	Dnah3	dnah3
ENSDARG00000101806	ENSDARG00000101806.3		or104-1
ENSDARG00000105445	ENSDARG00000105445.2		CR769769.2
ENSDARG00000078805	ENSDARG00000078805.5	Ap5b1	ap5b1
ENSDARG00000058893	ENSDARG00000058893.8	Nhej1	nhej1
ENSDARG00000088881	ENSDARG00000088881.4		si:dkeyp-69b9.3
ENSDARG00000095893	ENSDARG00000095893.4		si:dkey-85n7.7
ENSDARG00000062376	ENSDARG00000062376.7	Ces5a	nlgn3b
ENSDARG00000062376	ENSDARG00000062376.7	Ces1c	nlgn3b
ENSDARG00000062376	ENSDARG00000062376.7	Ces1h	nlgn3b
ENSDARG00000062376	ENSDARG00000062376.7	Ces1b	nlgn3b
ENSDARG00000062376	ENSDARG00000062376.7	Ces1g	nlgn3b
ENSDARG00000062376	ENSDARG00000062376.7	Ces1d	nlgn3b
ENSDARG00000062376	ENSDARG00000062376.7	Ces2e	nlgn3b
ENSDARG00000062376	ENSDARG00000062376.7	Ces2b	nlgn3b
ENSDARG00000062376	ENSDARG00000062376.7	Ces2c	nlgn3b
ENSDARG00000062376	ENSDARG00000062376.7	Ces2g	nlgn3b
ENSDARG00000062376	ENSDARG00000062376.7	Ces2a	nlgn3b
ENSDARG00000062376	ENSDARG00000062376.7	Ces2f	nlgn3b
ENSDARG00000062376	ENSDARG00000062376.7	Ces4a	nlgn3b
ENSDARG00000062376	ENSDARG00000062376.7	Ces2h	nlgn3b
ENSDARG00000062376	ENSDARG00000062376.7	Ces1a	nlgn3b
ENSDARG00000062376	ENSDARG00000062376.7	Ces1f	nlgn3b
ENSDARG00000062376	ENSDARG00000062376.7	Ces1e	nlgn3b
ENSDARG00000039490	ENSDARG00000039490.6	Pitpna	pitpnaa
ENSDARG00000020986	ENSDARG00000020986.9	Ctu1	ctu1
ENSDARG00000098626	ENSDARG00000098626.3	Trdv1	nitr12
ENSDARG00000098626	ENSDARG00000098626.3	Trav5d-4	nitr12
ENSDARG00000098626	ENSDARG00000098626.3	Trav5n-4	nitr12
ENSDARG00000098626	ENSDARG00000098626.3	Trav5-4	nitr12
ENSDARG00000098626	ENSDARG00000098626.3	Trav5-1	nitr12
ENSDARG00000098626	ENSDARG00000098626.3	Trav10d	nitr12
ENSDARG00000098626	ENSDARG00000098626.3	Trav10n	nitr12
ENSDARG00000098626	ENSDARG00000098626.3	Trav10	nitr12
ENSDARG00000098626	ENSDARG00000098626.3	Trav3-1	nitr12
ENSDARG00000098626	ENSDARG00000098626.3	Trav3-4	nitr12
ENSDARG00000098626	ENSDARG00000098626.3	Trav3n-3	nitr12
ENSDARG00000098626	ENSDARG00000098626.3	Trav3d-3	nitr12
ENSDARG00000098626	ENSDARG00000098626.3	Trav3-3	nitr12
ENSDARG00000098626	ENSDARG00000098626.3	Trav1	nitr12
ENSDARG00000098626	ENSDARG00000098626.3	Trav21-dv12	nitr12
ENSDARG00000098626	ENSDARG00000098626.3	Trav11	nitr12
ENSDARG00000098626	ENSDARG00000098626.3	Trav11d	nitr12
ENSDARG00000098626	ENSDARG00000098626.3	Trac	nitr12
ENSDARG00000098626	ENSDARG00000098626.3	Trdv2-2	nitr12
ENSDARG00000098626	ENSDARG00000098626.3	Trav2	nitr12
ENSDARG00000098626	ENSDARG00000098626.3	Trav8n-2	nitr12
ENSDARG00000098626	ENSDARG00000098626.3	Trav8d-2	nitr12
ENSDARG00000098626	ENSDARG00000098626.3	Trav8d-1	nitr12
ENSDARG00000098626	ENSDARG00000098626.3	Trav8-1	nitr12
ENSDARG00000089187	ENSDARG00000089187.3		wfdc2
ENSDARG00000101165	ENSDARG00000101165.2		si:dkey-157e10.8
ENSDARG00000003175	ENSDARG00000003175.10	Stx5a	stx5al
ENSDARG00000074846	ENSDARG00000074846.4		si:dkeyp-68b7.12
ENSDARG00000026759	ENSDARG00000026759.11		ldlrb
ENSDARG00000098213	ENSDARG00000098213.2		BX465836.1
ENSDARG00000033099	ENSDARG00000033099.9	Kif7	kif7
ENSDARG00000096970	ENSDARG00000096970.3		BX119902.2
ENSDARG00000024184	ENSDARG00000024184.8	Narf	narf
ENSDARG00000076901	ENSDARG00000076901.4		CR376751.1
ENSDARG00000009341	ENSDARG00000009341.13	Nrap	nrap
ENSDARG00000100546	ENSDARG00000100546.3		or108-2
ENSDARG00000090804	ENSDARG00000090804.4	Gpr155	gpr155a
ENSDARG00000016977	ENSDARG00000016977.10	Snx27	snx27b
ENSDARG00000058538	ENSDARG00000058538.5	Alcam	alcamb
ENSDARG00000102175	ENSDARG00000102175.2	Hamp	hamp
ENSDARG00000018153	ENSDARG00000018153.9	Nt5c1b	nt5c1ba
ENSDARG00000054533	ENSDARG00000054533.7	Araf	araf
ENSDARG00000092243	ENSDARG00000092243.3		BX005065.1
ENSDARG00000038154	ENSDARG00000038154.7	Isca2	isca2
ENSDARG00000036420	ENSDARG00000036420.7		si:dkey-33c9.6
ENSDARG00000098726	ENSDARG00000098726.2	Rptor	rptor
ENSDARG00000098677	ENSDARG00000098677.2		zgc:174180
ENSDARG00000096511	ENSDARG00000096511.2		BX842692.1
ENSDARG00000037652	ENSDARG00000037652.8	E130309D02Rik	C1H7orf26
ENSDARG00000027963	ENSDARG00000027963.8	Camkv	camkva
ENSDARG00000097726	ENSDARG00000097726.2		si:ch211-149e23.4
ENSDARG00000105456	ENSDARG00000105456.2		FO834831.1
ENSDARG00000095680	ENSDARG00000095680.2		AL845324.2
ENSDARG00000011821	ENSDARG00000011821.10	Plod2	plod2
ENSDARG00000095576	ENSDARG00000095576.2		si:ch211-122l14.7
ENSDARG00000035875	ENSDARG00000035875.6	Tmem54	tmem54b
ENSDARG00000057074	ENSDARG00000057074.6	Rpgr	rpgrb
ENSDARG00000075181	ENSDARG00000075181.6	Ifnar2	crfb16
ENSDARG00000075181	ENSDARG00000075181.6	Il10ra	crfb16
ENSDARG00000075181	ENSDARG00000075181.6	Ifngr1	crfb16
ENSDARG00000075181	ENSDARG00000075181.6	Il22ra1	crfb16
ENSDARG00000077950	ENSDARG00000077950.6	Tor1b	tor1
ENSDARG00000077950	ENSDARG00000077950.6	Tor1a	tor1
ENSDARG00000079355	ENSDARG00000079355.4	Flrt2	flrt2
ENSDARG00000044251	ENSDARG00000044251.5		rasgef1bb
ENSDARG00000096398	ENSDARG00000096398.3		si:ch211-276a17.5
ENSDARG00000003144	ENSDARG00000003144.7	Pxmp2	pxmp2
ENSDARG00000016968	ENSDARG00000016968.10	Tmem214	tmem214
ENSDARG00000090063	ENSDARG00000090063.3	Fa2h	fa2h
ENSDARG00000033789	ENSDARG00000033789.6	Ndufb7	ndufb7
ENSDARG00000017522	ENSDARG00000017522.12	Ctdp1	ctdp1
ENSDARG00000077860	ENSDARG00000077860.6	Ankhd1	ankhd1
ENSDARG00000077860	ENSDARG00000077860.6	Maskbp3	ankhd1
ENSDARG00000097025	ENSDARG00000097025.2		CR354383.1
ENSDARG00000052097	ENSDARG00000052097.7		trim35-31
ENSDARG00000098675	ENSDARG00000098675.2		traj55
ENSDARG00000045015	ENSDARG00000045015.9	Cyp27b1	cyp27b1
ENSDARG00000101490	ENSDARG00000101490.2		si:ch73-281i18.6
ENSDARG00000008100	ENSDARG00000008100.11	Slc7a10	slc7a10a
ENSDARG00000041340	ENSDARG00000041340.6	Mrpl51	mrpl51
ENSDARG00000087757	ENSDARG00000087757.4		pimr190
ENSDARG00000110990	ENSDARG00000110990.1		BX908796.2
ENSDARG00000092491	ENSDARG00000092491.4		si:dkey-149i17.8
ENSDARG00000045873	ENSDARG00000045873.8	Frs2	frs2a
ENSDARG00000088072	ENSDARG00000088072.3	Usp43	usp43b
ENSDARG00000096208	ENSDARG00000096208.2		si:dkeyp-100h4.8
ENSDARG00000070874	ENSDARG00000070874.5		asmt2
ENSDARG00000105588	ENSDARG00000105588.2		CU464087.1
ENSDARG00000075339	ENSDARG00000075339.4		ipp
ENSDARG00000045641	ENSDARG00000045641.7	Usp3	usp3
ENSDARG00000103025	ENSDARG00000103025.2	Hmgcs1	hmgcs1
ENSDARG00000061439	ENSDARG00000061439.6	Ugt2a2	ugt5c3
ENSDARG00000061439	ENSDARG00000061439.6	Gm43638	ugt5c3
ENSDARG00000061439	ENSDARG00000061439.6	Ugt2a1	ugt5c3
ENSDARG00000061439	ENSDARG00000061439.6	Ugt2a3	ugt5c3
ENSDARG00000061439	ENSDARG00000061439.6	Ugt1a9	ugt5c3
ENSDARG00000061439	ENSDARG00000061439.6	Ugt1a10	ugt5c3
ENSDARG00000061439	ENSDARG00000061439.6	Ugt1a8	ugt5c3
ENSDARG00000061439	ENSDARG00000061439.6	Ugt1a2	ugt5c3
ENSDARG00000061439	ENSDARG00000061439.6	Ugt1a5	ugt5c3
ENSDARG00000061439	ENSDARG00000061439.6	Ugt1a7c	ugt5c3
ENSDARG00000061439	ENSDARG00000061439.6	Ugt1a6a	ugt5c3
ENSDARG00000061439	ENSDARG00000061439.6	Ugt1a6b	ugt5c3
ENSDARG00000102553	ENSDARG00000102553.2		traj6
ENSDARG00000104269	ENSDARG00000104269.2		si:ch211-271d10.2
ENSDARG00000052520	ENSDARG00000052520.8	Sgms2	sgms2a
ENSDARG00000018542	ENSDARG00000018542.11	Hapln4	hapln4
ENSDARG00000074253	ENSDARG00000074253.6	Olig3	olig3
ENSDARG00000078768	ENSDARG00000078768.4		abhd15a
ENSDARG00000100858	ENSDARG00000100858.3	Septin14	zgc:171695
ENSDARG00000062357	ENSDARG00000062357.7	Tafa1	tafa1a
ENSDARG00000019135	ENSDARG00000019135.6	Ankef1	ankef1a
ENSDARG00000068711	ENSDARG00000068711.6	Il10rb	crfb4
ENSDARG00000068711	ENSDARG00000068711.6	Gm21970	crfb4
ENSDARG00000043002	ENSDARG00000043002.6	Vmo1	vmo1a
ENSDARG00000090854	ENSDARG00000090854.3	Lsm11	lsm11
ENSDARG00000056683	ENSDARG00000056683.8	Cdk5	cdk5
ENSDARG00000098676	ENSDARG00000098676.2		CU467043.1
ENSDARG00000012446	ENSDARG00000012446.11	Helz2	zgc:113057
ENSDARG00000078567	ENSDARG00000078567.5	Lonrf1	lonrf1l
ENSDARG00000021444	ENSDARG00000021444.11	Prf1	prf1.2
ENSDARG00000029263	ENSDARG00000029263.10	Hoxb3	hoxb3a
ENSDARG00000030472	ENSDARG00000030472.7	Slc16a5	slc16a5a
ENSDARG00000042515	ENSDARG00000042515.6	Gpr176	gpr176
ENSDARG00000042018	ENSDARG00000042018.7	Fhl2	fhl2a
ENSDARG00000036943	ENSDARG00000036943.8	Golph3l	golph3l
ENSDARG00000015476	ENSDARG00000015476.10	Iqch	iqch
ENSDARG00000089954	ENSDARG00000089954.5	Tdrd6	si:ch211-189e2.3
ENSDARG00000002355	ENSDARG00000002355.10	Shpk	shpk
ENSDARG00000069537	ENSDARG00000069537.4		si:dkey-238c7.16
ENSDARG00000044457	ENSDARG00000044457.7	Gfi1	gfi1ab
ENSDARG00000087798	ENSDARG00000087798.5	Pdyn	pdyn
ENSDARG00000101106	ENSDARG00000101106.2		si:ch73-109d9.3
ENSDARG00000093521	ENSDARG00000093521.4	B3gnt3	b3gnt3.3
ENSDARG00000045443	ENSDARG00000045443.6	Agtr1b	agtr1b
ENSDARG00000045443	ENSDARG00000045443.6	Agtr1a	agtr1b
ENSDARG00000058958	ENSDARG00000058958.7		trim35-7
ENSDARG00000019293	ENSDARG00000019293.9	Tfdp1	tfdp1a
ENSDARG00000094455	ENSDARG00000094455.3		CR293531.1
ENSDARG00000097849	ENSDARG00000097849.2		BX927395.1
ENSDARG00000078167	ENSDARG00000078167.6		si:dkeyp-100h4.1
ENSDARG00000115890	ENSDARG00000115890.1		si:dkey-1b17.9
ENSDARG00000101085	ENSDARG00000101085.2	Ss18l2	ss18l2
ENSDARG00000007250	ENSDARG00000007250.8	Use1	use1
ENSDARG00000113690	ENSDARG00000113690.1		si:ch211-223g7.6
ENSDARG00000011449	ENSDARG00000011449.13	Fes	fes
ENSDARG00000099200	ENSDARG00000099200.2		zgc:123103
ENSDARG00000040250	ENSDARG00000040250.7		si:ch211-132g1.1
ENSDARG00000044753	ENSDARG00000044753.8	Idh3b	idh3b
ENSDARG00000006560	ENSDARG00000006560.10	Irf4	irf4a
ENSDARG00000099086	ENSDARG00000099086.3		BX511142.1
ENSDARG00000074302	ENSDARG00000074302.6	Gpr183	gpr183b
ENSDARG00000061371	ENSDARG00000061371.8	Cdh18	cdh18a
ENSDARG00000063574	ENSDARG00000063574.9	Mtg2	mtg2
ENSDARG00000086471	ENSDARG00000086471.4	Pkig	pkig
ENSDARG00000002377	ENSDARG00000002377.12	Mief2	mief2
ENSDARG00000052129	ENSDARG00000052129.8	Bok	boka
ENSDARG00000098029	ENSDARG00000098029.2	Gm572	si:ch211-129o18.4
ENSDARG00000097268	ENSDARG00000097268.2		CU929145.2
ENSDARG00000059773	ENSDARG00000059773.8	Srcin1	SRCIN1
ENSDARG00000095453	ENSDARG00000095453.2		si:rp71-17i16.6
ENSDARG00000097673	ENSDARG00000097673.3		FP016235.1
ENSDARG00000056740	ENSDARG00000056740.6		tmeff1b
ENSDARG00000033446	ENSDARG00000033446.8		tap2t
ENSDARG00000099899	ENSDARG00000099899.2		si:dkeyp-51g9.4
ENSDARG00000077253	ENSDARG00000077253.3	Alkbh6	alkbh6
ENSDARG00000096836	ENSDARG00000096836.2		AL807792.1
ENSDARG00000105063	ENSDARG00000105063.2		si:ch211-64i20.3
ENSDARG00000100694	ENSDARG00000100694.2	Tnnt2	tnnt2b
ENSDARG00000093799	ENSDARG00000093799.3	Setbp1	setbp1
ENSDARG00000092995	ENSDARG00000092995.2		BX294113.1
ENSDARG00000052851	ENSDARG00000052851.7	Golph3	golph3
ENSDARG00000009844	ENSDARG00000009844.8	Dusp23	dusp23a
ENSDARG00000018871	ENSDARG00000018871.8	Henmt1	henmt1
ENSDARG00000102608	ENSDARG00000102608.2	2700097O09Rik	zgc:109986
ENSDARG00000003818	ENSDARG00000003818.9	Prkag1	prkag1
ENSDARG00000019156	ENSDARG00000019156.9		haus5
ENSDARG00000038615	ENSDARG00000038615.9	Pip4p1	pip4p1a
ENSDARG00000092774	ENSDARG00000092774.4		tars3
ENSDARG00000092082	ENSDARG00000092082.3		BX649639.1
ENSDARG00000087457	ENSDARG00000087457.4		ecscr
ENSDARG00000034734	ENSDARG00000034734.6	Med6	med6
ENSDARG00000079283	ENSDARG00000079283.6		si:ch211-247j9.1
ENSDARG00000021913	ENSDARG00000021913.9	Ak9	ak9
ENSDARG00000105120	ENSDARG00000105120.2	Gab2	gab2
ENSDARG00000098157	ENSDARG00000098157.2		CR792416.1
ENSDARG00000102929	ENSDARG00000102929.2	1600014C10Rik	C7H19orf12
ENSDARG00000073688	ENSDARG00000073688.5	Nav2	nav2a
ENSDARG00000103180	ENSDARG00000103180.2		CU467880.1
ENSDARG00000090814	ENSDARG00000090814.4		si:dkey-18a10.3
ENSDARG00000027141	ENSDARG00000027141.9	Ube2l3	ube2l3b
ENSDARG00000102434	ENSDARG00000102434.2		si:dkey-13m1.2
ENSDARG00000099967	ENSDARG00000099967.2		CU929143.1
ENSDARG00000095872	ENSDARG00000095872.2		CR352226.3
ENSDARG00000052142	ENSDARG00000052142.7	Acvr1b	acvr1bb
ENSDARG00000093111	ENSDARG00000093111.4		si:ch211-209l18.2
ENSDARG00000069758	ENSDARG00000069758.5		si:dkey-189g17.2
ENSDARG00000039218	ENSDARG00000039218.6	Gpr101	gpr101
ENSDARG00000010717	ENSDARG00000010717.8	Chchd10	chchd10
ENSDARG00000020449	ENSDARG00000020449.7	Yipf3	yipf3
ENSDARG00000038792	ENSDARG00000038792.5	Klf17	klf17
ENSDARG00000038792	ENSDARG00000038792.5	Zfp352	klf17
ENSDARG00000038792	ENSDARG00000038792.5	Klf14	klf17
ENSDARG00000095204	ENSDARG00000095204.3		AL935117.1
ENSDARG00000017163	ENSDARG00000017163.9		sinup
ENSDARG00000044015	ENSDARG00000044015.7	Gfra2	gfra2b
ENSDARG00000101456	ENSDARG00000101456.2		acp5b
ENSDARG00000076801	ENSDARG00000076801.6	Arap3	arap3
ENSDARG00000003206	ENSDARG00000003206.12	Chchd6	chchd6a
ENSDARG00000105543	ENSDARG00000105543.2		BX323797.2
ENSDARG00000078686	ENSDARG00000078686.5	Arl8a	arl8a
ENSDARG00000017835	ENSDARG00000017835.11	Brf1	brf1a
ENSDARG00000044318	ENSDARG00000044318.8	Itgb7	itgb7
ENSDARG00000076025	ENSDARG00000076025.5	Dgkz	dgkzb
ENSDARG00000009253	ENSDARG00000009253.9	Rtraf	rtraf
ENSDARG00000062549	ENSDARG00000062549.8	Acmsd	acmsd
ENSDARG00000037262	ENSDARG00000037262.7		cdkn2a/b
ENSDARG00000075855	ENSDARG00000075855.6		adgre10
ENSDARG00000037555	ENSDARG00000037555.7	Atoh8	atoh8
ENSDARG00000038976	ENSDARG00000038976.5	Pdcd7	pdcd7
ENSDARG00000039349	ENSDARG00000039349.8	Qrfprl	qrfpra
ENSDARG00000039349	ENSDARG00000039349.8	Qrfpr	qrfpra
ENSDARG00000036588	ENSDARG00000036588.7	Fcgrt	mhc1zba
ENSDARG00000036588	ENSDARG00000036588.7	Cd1d1	mhc1zba
ENSDARG00000036588	ENSDARG00000036588.7	Cd1d2	mhc1zba
ENSDARG00000036588	ENSDARG00000036588.7	Mill1	mhc1zba
ENSDARG00000036588	ENSDARG00000036588.7	Raet1d	mhc1zba
ENSDARG00000036588	ENSDARG00000036588.7	Mill2	mhc1zba
ENSDARG00000036588	ENSDARG00000036588.7	Raet1e	mhc1zba
ENSDARG00000098257	ENSDARG00000098257.2	Pcdh15	pcdh15a
ENSDARG00000059351	ENSDARG00000059351.8		hnrnpa3
ENSDARG00000105553	ENSDARG00000105553.2		CU041319.3
ENSDARG00000078717	ENSDARG00000078717.6	Itga8	itga8
ENSDARG00000024219	ENSDARG00000024219.10	Cdk5rap2	cdk5rap2
ENSDARG00000102612	ENSDARG00000102612.2	Slc15a4	slc15a4
ENSDARG00000075818	ENSDARG00000075818.6	Dok2	dok2
ENSDARG00000063006	ENSDARG00000063006.7	Cacng7	cacng7a
ENSDARG00000097115	ENSDARG00000097115.2		si:dkey-27l15.1
ENSDARG00000055560	ENSDARG00000055560.7		p2ry8
ENSDARG00000099099	ENSDARG00000099099.3		CABZ01015815.1
ENSDARG00000024771	ENSDARG00000024771.8	Slc24a5	slc24a5
ENSDARG00000052846	ENSDARG00000052846.7	Fst	fsta
ENSDARG00000092855	ENSDARG00000092855.4	Srbd1	SRBD1
ENSDARG00000014024	ENSDARG00000014024.12	Ms4a5	ms4a17a.4
ENSDARG00000014024	ENSDARG00000014024.12	Ms4a7	ms4a17a.4
ENSDARG00000014024	ENSDARG00000014024.12	Ms4a15	ms4a17a.4
ENSDARG00000014024	ENSDARG00000014024.12	Ms4a18	ms4a17a.4
ENSDARG00000014024	ENSDARG00000014024.12	Ms4a14	ms4a17a.4
ENSDARG00000014024	ENSDARG00000014024.12	Ms4a19	ms4a17a.4
ENSDARG00000014024	ENSDARG00000014024.12	Ms4a10	ms4a17a.4
ENSDARG00000014024	ENSDARG00000014024.12	Ms4a20	ms4a17a.4
ENSDARG00000014024	ENSDARG00000014024.12	Ms4a6b	ms4a17a.4
ENSDARG00000014024	ENSDARG00000014024.12	Ms4a6c	ms4a17a.4
ENSDARG00000014024	ENSDARG00000014024.12	Ms4a6d	ms4a17a.4
ENSDARG00000014024	ENSDARG00000014024.12	Ms4a13	ms4a17a.4
ENSDARG00000014024	ENSDARG00000014024.12	Ms4a1	ms4a17a.4
ENSDARG00000014024	ENSDARG00000014024.12	Ms4a2	ms4a17a.4
ENSDARG00000100531	ENSDARG00000100531.3	Abhd14b	abhd14b
ENSDARG00000101319	ENSDARG00000101319.3		si:ch73-299h12.6
ENSDARG00000055445	ENSDARG00000055445.5	Slc22a27	slc22a15
ENSDARG00000055445	ENSDARG00000055445.5	Slc22a29	slc22a15
ENSDARG00000055445	ENSDARG00000055445.5	Slc22a30	slc22a15
ENSDARG00000055445	ENSDARG00000055445.5	Slc22a28	slc22a15
ENSDARG00000055445	ENSDARG00000055445.5	Slc22a19	slc22a15
ENSDARG00000055445	ENSDARG00000055445.5	Slc22a26	slc22a15
ENSDARG00000089750	ENSDARG00000089750.3	Gm49392	si:dkey-26g8.5
ENSDARG00000089750	ENSDARG00000089750.3	Gm49391	si:dkey-26g8.5
ENSDARG00000089750	ENSDARG00000089750.3	Ctla2b	si:dkey-26g8.5
ENSDARG00000089750	ENSDARG00000089750.3	Ctla2a	si:dkey-26g8.5
ENSDARG00000078529	ENSDARG00000078529.7	Adgrb1	adgrb1b
ENSDARG00000094550	ENSDARG00000094550.2		BX649490.2
ENSDARG00000091169	ENSDARG00000091169.5	Tor4a	tor4ab
ENSDARG00000052010	ENSDARG00000052010.7	Ciao2b	ciao2b
ENSDARG00000098075	ENSDARG00000098075.2	Sh3bgrl3	sh3bgrl3
ENSDARG00000093164	ENSDARG00000093164.2		si:rp71-23d18.8
ENSDARG00000093780	ENSDARG00000093780.3		BX548078.1
ENSDARG00000069595	ENSDARG00000069595.6	Prr36	si:ch211-214c7.4
ENSDARG00000093621	ENSDARG00000093621.3		si:dkey-27b3.4
ENSDARG00000045070	ENSDARG00000045070.7	Itgb3	itgb3b
ENSDARG00000055901	ENSDARG00000055901.7	Steap4	steap4
ENSDARG00000093608	ENSDARG00000093608.4		ccl34b.1
ENSDARG00000023111	ENSDARG00000023111.8	Plg	plg
ENSDARG00000020197	ENSDARG00000020197.8	Rpl5	rpl5a
ENSDARG00000040930	ENSDARG00000040930.7	Deptor	deptor
ENSDARG00000099685	ENSDARG00000099685.2	Gnb5	gnb5a
ENSDARG00000051729	ENSDARG00000051729.7		nfatc3b
ENSDARG00000098514	ENSDARG00000098514.2		si:ch211-59d8.3
ENSDARG00000077778	ENSDARG00000077778.5	Adamts9	adamts9
ENSDARG00000057227	ENSDARG00000057227.8	9530077C05Rik	si:dkey-222b8.4
ENSDARG00000092014	ENSDARG00000092014.3		BX294129.1
ENSDARG00000043431	ENSDARG00000043431.9	B3gntl1	b3gntl1
ENSDARG00000029905	ENSDARG00000029905.8	Phyhd1	phyhd1
ENSDARG00000077082	ENSDARG00000077082.4	Agtrap	agtrap
ENSDARG00000077581	ENSDARG00000077581.5	Zzz3	zzz3
ENSDARG00000018593	ENSDARG00000018593.8	Parp16	parp16
ENSDARG00000079455	ENSDARG00000079455.5		nlgn4xa
ENSDARG00000071648	ENSDARG00000071648.6		zgc:113298
ENSDARG00000095337	ENSDARG00000095337.3		CR318646.3
ENSDARG00000097225	ENSDARG00000097225.2		si:dkey-79d12.6
ENSDARG00000097063	ENSDARG00000097063.2		sparcl2
ENSDARG00000094616	ENSDARG00000094616.4		zgc:113984
ENSDARG00000002509	ENSDARG00000002509.11		zgc:153911
ENSDARG00000027826	ENSDARG00000027826.10	Pudp	pudp
ENSDARG00000010408	ENSDARG00000010408.11		igsf9b
ENSDARG00000054031	ENSDARG00000054031.7	Mxd4	mxd4
ENSDARG00000062987	ENSDARG00000062987.9	Tyw1	tyw1
ENSDARG00000004296	ENSDARG00000004296.8	Ambp	ambp
ENSDARG00000039880	ENSDARG00000039880.6	Arpp19	arpp19b
ENSDARG00000035860	ENSDARG00000035860.8	Rps28	rps28
ENSDARG00000041078	ENSDARG00000041078.8	Chka	chka
ENSDARG00000023298	ENSDARG00000023298.8		rps27.1
ENSDARG00000104332	ENSDARG00000104332.2	Cdh3	cdh28
ENSDARG00000075112	ENSDARG00000075112.6	Tacr3	tacr3a
ENSDARG00000002219	ENSDARG00000002219.10		si:dkey-103j14.5
ENSDARG00000098889	ENSDARG00000098889.2		si:zfos-128g4.2
ENSDARG00000079391	ENSDARG00000079391.4		mrpl42
ENSDARG00000074306	ENSDARG00000074306.5	Gm49392	ctslb
ENSDARG00000074306	ENSDARG00000074306.5	Gm49391	ctslb
ENSDARG00000074306	ENSDARG00000074306.5	Ctla2b	ctslb
ENSDARG00000074306	ENSDARG00000074306.5	Ctla2a	ctslb
ENSDARG00000093010	ENSDARG00000093010.2		BX511259.1
ENSDARG00000096588	ENSDARG00000096588.2		adgre15
ENSDARG00000105603	ENSDARG00000105603.2		BX957276.1
ENSDARG00000093645	ENSDARG00000093645.2		BX294113.2
ENSDARG00000040021	ENSDARG00000040021.7	Ebag9	ebag9
ENSDARG00000036893	ENSDARG00000036893.8	F13a1	f13a1b
ENSDARG00000013266	ENSDARG00000013266.8	Colec11	colec11
ENSDARG00000042937	ENSDARG00000042937.7	Spata21	si:dkey-256e7.5
ENSDARG00000111173	ENSDARG00000111173.1		si:dkeyp-67e1.2
ENSDARG00000094473	ENSDARG00000094473.3		si:dkey-163f12.6
ENSDARG00000071377	ENSDARG00000071377.7		hsd11b1la
ENSDARG00000025671	ENSDARG00000025671.10		grm6b
ENSDARG00000092630	ENSDARG00000092630.2		CR954294.1
ENSDARG00000035018	ENSDARG00000035018.8	Thy1	thy1
ENSDARG00000039173	ENSDARG00000039173.7	Gm49392	ctslb
ENSDARG00000039173	ENSDARG00000039173.7	Gm49391	ctslb
ENSDARG00000039173	ENSDARG00000039173.7	Ctla2b	ctslb
